Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Social Structure,Offspring per Birth
Aardvark,117.5,52.5,Grey,25.0,Carnivore,"Savannas, Grasslands","Lions, Hyenas",40.0,Africa,Least Concern,Orycteropodidae,225.0,Solitary,1.0
Aardwolf,45.0,11.0,Yellow-brown,11.0,Carnivore,"Grasslands, Savannas","Lions, Leopards",27.0,Eastern and Southern Africa,Least Concern,Hyaenidae,90.0,Solitary,3.5
African Elephant,290.0,4350.0,Grey,65.0,Herbivore,"Savannas, Forests","Lions, Hyenas",25.0,Africa,Vulnerable,Elephantidae,650.0,Herd-based,1.0
African Lion,95.0,185.0,Tan,12.0,Carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",58.0,Africa,Vulnerable,Felidae,101.5,Group-based,3.0
African Wild Dog,77.5,27.0,Multicolored,11.0,Carnivore,Savannas,"Lions, Hyenas",56.0,Sub-Saharan Africa,Endangered,Canidae,70.0,Group-based,11.0
Alpine Ibex,84.0,69.5,Brown,17.5,Herbivore,"Mountains, Alpine","Wolves, Golden Eagles",60.0,European Alps,Least Concern,Bovidae,150.0,Group-based,1.0
Amazon Rainforest Frog,7.5,0.5,Various,10.5,Carnivore,Amazon Rainforest,"Birds, Snakes",0.55,Amazon Rainforest,Not Evaluated,Dendrobatidae,12.5,Solitary,40.0
American Bison,169.0,659.0,Brown,17.5,Herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",48.0,North America,Near Threatened,Bovidae,280.0,Group-based,1.0
Anteater,71.5,31.5,"Brown, White",17.5,Carnivore,"Grasslands, Forests","Jaguars, Pumas",24.0,Central and South America,Least Concern,Myrmecophagidae,200.0,Solitary,1.0
Arabian Horse,150.0,690.0,Various,27.5,Herbivore,"Middle East, North Africa","Humans, Wolves, Bears",65.0,"Middle East, North Africa",Least Concern,Equidae,336.0,Herd-based,1.0
Arabian Oryx,80.0,77.5,White,15.0,Herbivore,Deserts,"Lions, Leopards",55.0,Middle East,Vulnerable,Bovidae,225.0,Herd-based,1.0
Arctic Fox,27.5,5.75,White,4.5,Omnivore,Tundra,Polar Bears,60.0,Arctic regions,Least Concern,Canidae,56.0,Solitary,7.5
Arowana,120.0,6.7,"Silver, Gold, Green",15.0,Carnivore,"Freshwater Rivers, Lakes","Birds, Larger Fish",24.0,"South America, Asia",Not Evaluated,Osteoglossidae,55.0,Solitary,25.0
Asian Elephant,250.0,3500.0,Grey,70.0,Herbivore,"Grasslands, Forests","Tigers, Leopards",40.0,Asia (Southeast),Endangered,Elephantidae,650.0,Herd-based,1.0
Atlantic Puffin,27.5,560.0,"Black, White",22.5,Carnivore,"North Atlantic, Arctic","Gulls, Birds of Prey",40.0,"North Atlantic, Arctic",Vulnerable,Alcidae,40.0,Colony-based,1.0
Atlantic Spotted Dolphin,225.0,130.0,"Gray, White",22.5,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",52.0,Worldwide,Least Concern,Delphinidae,370.0,Group-based,1.0
